#,variety,lysimeter,day of year,hour,minute,ET,hour of year,minute of year
357,A1,lys9,200,5,40,NA,200.2083333,200.2361111
358,A1,lys9,200,5,45,5,200.2083333,200.2395833
359,A1,lys9,200,5,50,10,200.2083333,200.2430556
360,A1,lys9,200,5,55,5,200.2083333,200.2465278
361,A1,lys9,200,6,0,5,200.25,200.25
362,A1,lys9,200,6,5,5,200.25,200.2534722
363,A1,lys9,200,6,10,0,200.25,200.2569444
364,A1,lys9,200,6,15,5,200.25,200.2604167
365,A1,lys9,200,6,20,0,200.25,200.2638889
366,A1,lys9,200,6,25,0,200.25,200.2673611
367,A1,lys9,200,6,30,10,200.25,200.2708333
368,A1,lys9,200,6,35,10,200.25,200.2743056
369,A1,lys9,200,6,40,5,200.25,200.2777778
370,A1,lys9,200,6,45,10,200.25,200.28125
371,A1,lys9,200,6,50,5,200.25,200.2847222
372,A1,lys9,200,6,55,NA,200.25,200.2881944
373,A1,lys9,200,7,0,NA,200.2916667,200.2916667
374,A1,lys9,200,7,5,20,200.2916667,200.2951389
375,A1,lys9,200,7,10,25,200.2916667,200.2986111
376,A1,lys9,200,7,15,25,200.2916667,200.3020833
377,A1,lys9,200,7,20,20,200.2916667,200.3055556
378,A1,lys9,200,7,25,NA,200.2916667,200.3090278
379,A1,lys9,200,7,30,NA,200.2916667,200.3125
380,A1,lys9,200,7,35,20,200.2916667,200.3159722
381,A1,lys9,200,7,40,NA,200.2916667,200.3194444
382,A1,lys9,200,7,45,NA,200.2916667,200.3229167
383,A1,lys9,200,7,50,NA,200.2916667,200.3263889
384,A1,lys9,200,7,55,NA,200.2916667,200.3298611
385,A1,lys9,200,8,0,NA,200.3333333,200.3333333
386,A1,lys9,200,8,5,NA,200.3333333,200.3368056
387,A1,lys9,200,8,10,35,200.3333333,200.3402778
388,A1,lys9,200,8,15,NA,200.3333333,200.34375
389,A1,lys9,200,8,20,0,200.3333333,200.3472222
390,A1,lys9,200,8,25,NA,200.3333333,200.3506944
391,A1,lys9,200,8,30,15,200.3333333,200.3541667
392,A1,lys9,200,8,35,0,200.3333333,200.3576389
393,A1,lys9,200,8,40,0,200.3333333,200.3611111
394,A1,lys9,200,8,45,20,200.3333333,200.3645833
395,A1,lys9,200,8,50,25,200.3333333,200.3680556
396,A1,lys9,200,8,55,NA,200.3333333,200.3715278
397,A1,lys9,200,9,0,10,200.375,200.375
398,A1,lys9,200,9,5,25,200.375,200.3784722
399,A1,lys9,200,9,10,25,200.375,200.3819444
400,A1,lys9,200,9,15,10,200.375,200.3854167
401,A1,lys9,200,9,20,10,200.375,200.3888889
402,A1,lys9,200,9,25,30,200.375,200.3923611
403,A1,lys9,200,9,30,20,200.375,200.3958333
404,A1,lys9,200,9,35,10,200.375,200.3993056
405,A1,lys9,200,9,40,30,200.375,200.4027778
406,A1,lys9,200,9,45,30,200.375,200.40625
407,A1,lys9,200,9,50,NA,200.375,200.4097222
408,A1,lys9,200,9,55,NA,200.375,200.4131944
409,A1,lys9,200,10,0,30,200.4166667,200.4166667
410,A1,lys9,200,10,5,NA,200.4166667,200.4201389
411,A1,lys9,200,10,10,NA,200.4166667,200.4236111
412,A1,lys9,200,10,15,35,200.4166667,200.4270833
413,A1,lys9,200,10,20,20,200.4166667,200.4305556
414,A1,lys9,200,10,25,15,200.4166667,200.4340278
415,A1,lys9,200,10,30,30,200.4166667,200.4375
416,A1,lys9,200,10,35,40,200.4166667,200.4409722
417,A1,lys9,200,10,40,NA,200.4166667,200.4444444
418,A1,lys9,200,10,45,20,200.4166667,200.4479167
419,A1,lys9,200,10,50,35,200.4166667,200.4513889
420,A1,lys9,200,10,55,40,200.4166667,200.4548611
